Name,Level,Section,Select
Skyforge Hold,60,Skyforge,Location
Aqualith,60,Skyforge,Location
Emberlord’s Glade,59,Skyforge,Park
Gold Pass,55,Skyforge,Shop
Blackfist Estate,53,Skyforge,Location
Chapterhouse of the Twelve,51,Skyforge,Religion
Forge of Faith,51,Skyforge,Religion
Emberkeep,50,Skyforge,Security
Pilgrim’s Rest,49,Ember Crossing,Tavern
Emderdeep Gate,45,Ember Crossing,Location
Stoneweave Atelier,40,Ember Crossing,Shop
Stonewright Institude of Masonry,39,Ember Crossing,Location
Chapel of Orena (Emberdeep),38,Ember Crossing,Location
Ravana’s Aegis,34,Ember Crossing,Shop
Blackfist Arms,34,Ember Crossing,Shop
Candlelight Shelter,31,Ember Crossing,Location
Lost and Found Antiques,31,Ember Crossing,Shop
The Last Tankard,30,Ember Crossing,Location
St Thaldar’s Plaza,30,Ember Crossing,Location
Glittercase Ironworks,26,Ember Crossing,Location
The Wickery,25,Ember Crossing,Shop
"Bone Collector Guild, Emberdeep",20,Underforge,Shop
The Snoring Shield,18,Underforge,Tavern
Civic Knuckle,18,Underforge,Tavern
Ember Baths,14,Underforge,Location
Chapel of Graav (Emberdeep),12,Underforge,Location
Sanitarium,10,Underforge,Location
The Pits,0,Underforge,Location